case_id,task_id,category,fixture_id,asset_ref,gate_asset_status,input_kind,lighting,background,garment_type,display_mode,resolution,cvd_profile,severity,expected_observation,required_metrics,provenance_class,consent_requirement,license_requirement,owner
PM-COLOR-CONTRACT-BLACK,T12,color_digital_contract,extended-black,inline:black,GENERATED_AT_RUN,synthetic_patch,digital,not_applicable,not_applicable,offscreen,64x64,not_applicable,not_applicable,predict black with basic family black,basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count,project_synthetic,NOT_APPLICABLE,Apache-2.0,t12
PM-COLOR-CONTRACT-LIGHT-BLUE,T12,color_digital_contract,extended-light_blue,inline:light_blue,GENERATED_AT_RUN,synthetic_patch,digital,not_applicable,not_applicable,offscreen,64x64,not_applicable,not_applicable,predict light_blue with basic family blue,basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count,project_synthetic,NOT_APPLICABLE,Apache-2.0,t12
PM-COLOR-CONTRACT-BLUE,T12,color_digital_contract,extended-blue,inline:blue,GENERATED_AT_RUN,synthetic_patch,digital,not_applicable,not_applicable,offscreen,64x64,not_applicable,not_applicable,predict blue with basic family blue,basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count,project_synthetic,NOT_APPLICABLE,Apache-2.0,t12
PM-COLOR-CONTRACT-NAVY,T12,color_digital_contract,extended-navy,inline:navy,GENERATED_AT_RUN,synthetic_patch,digital,not_applicable,not_applicable,offscreen,64x64,not_applicable,not_applicable,predict navy with basic family blue,basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count,project_synthetic,NOT_APPLICABLE,Apache-2.0,t12
PM-COLOR-CONTRACT-TEAL,T12,color_digital_contract,extended-teal,inline:teal,GENERATED_AT_RUN,synthetic_patch,digital,not_applicable,not_applicable,offscreen,64x64,not_applicable,not_applicable,predict teal with basic family blue,basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count,project_synthetic,NOT_APPLICABLE,Apache-2.0,t12
PM-COLOR-CONTRACT-BEIGE,T12,color_digital_contract,extended-beige,inline:beige,GENERATED_AT_RUN,synthetic_patch,digital,not_applicable,not_applicable,offscreen,64x64,not_applicable,not_applicable,predict beige with basic family brown,basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count,project_synthetic,NOT_APPLICABLE,Apache-2.0,t12
PM-COLOR-CONTRACT-BROWN,T12,color_digital_contract,extended-brown,inline:brown,GENERATED_AT_RUN,synthetic_patch,digital,not_applicable,not_applicable,offscreen,64x64,not_applicable,not_applicable,predict brown with basic family brown,basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count,project_synthetic,NOT_APPLICABLE,Apache-2.0,t12
PM-COLOR-CONTRACT-DARK-BROWN,T12,color_digital_contract,extended-dark_brown,inline:dark_brown,GENERATED_AT_RUN,synthetic_patch,digital,not_applicable,not_applicable,offscreen,64x64,not_applicable,not_applicable,predict dark_brown with basic family brown,basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count,project_synthetic,NOT_APPLICABLE,Apache-2.0,t12
PM-COLOR-CONTRACT-LIGHT-GREY,T12,color_digital_contract,extended-light_grey,inline:light_grey,GENERATED_AT_RUN,synthetic_patch,digital,not_applicable,not_applicable,offscreen,64x64,not_applicable,not_applicable,predict light_grey with basic family grey,basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count,project_synthetic,NOT_APPLICABLE,Apache-2.0,t12
PM-COLOR-CONTRACT-GREY,T12,color_digital_contract,extended-grey,inline:grey,GENERATED_AT_RUN,synthetic_patch,digital,not_applicable,not_applicable,offscreen,64x64,not_applicable,not_applicable,predict grey with basic family grey,basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count,project_synthetic,NOT_APPLICABLE,Apache-2.0,t12
