"case_id","task_id","category","fixture_id","asset_ref","gate_asset_status","input_kind","lighting","background","garment_type","display_mode","resolution","cvd_profile","severity","expected_observation","required_metrics","provenance_class","consent_requirement","license_requirement","owner"
"PM-COLOR-CONTRACT-BLACK","T12","color_digital_contract","extended-black","inline:black","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict black with basic family black","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-DIM-GRAY","T12","color_digital_contract","extended-dim_gray","inline:dim_gray","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict dim_gray with basic family grey","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-BLUE","T12","color_digital_contract","extended-blue","inline:blue","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict blue with basic family blue","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-NAVY","T12","color_digital_contract","extended-navy","inline:navy","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict navy with basic family blue","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-CYAN","T12","color_digital_contract","extended-cyan","inline:cyan","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict cyan with basic family blue","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-SKY-BLUE","T12","color_digital_contract","extended-sky_blue","inline:sky_blue","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict sky_blue with basic family blue","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-ROYAL-BLUE","T12","color_digital_contract","extended-royal_blue","inline:royal_blue","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict royal_blue with basic family blue","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-LIGHT-BLUE","T12","color_digital_contract","extended-light_blue","inline:light_blue","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict light_blue with basic family blue","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-BROWN","T12","color_digital_contract","extended-brown","inline:brown","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict brown with basic family brown","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-DARK-BROWN","T12","color_digital_contract","extended-dark_brown","inline:dark_brown","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict dark_brown with basic family brown","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-PERU","T12","color_digital_contract","extended-peru","inline:peru","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict peru with basic family brown","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-CHOCOLATE","T12","color_digital_contract","extended-chocolate","inline:chocolate","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict chocolate with basic family brown","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-SANDY-BROWN","T12","color_digital_contract","extended-sandy_brown","inline:sandy_brown","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict sandy_brown with basic family brown","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-DARK-KHAKI","T12","color_digital_contract","extended-dark_khaki","inline:dark_khaki","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict dark_khaki with basic family yellow","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-GREY","T12","color_digital_contract","extended-grey","inline:grey","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict grey with basic family grey","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-LIGHT-GREY","T12","color_digital_contract","extended-light_grey","inline:light_grey","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict light_grey with basic family grey","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-ASH-GREY","T12","color_digital_contract","extended-ash_grey","inline:ash_grey","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict ash_grey with basic family grey","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-SILVER","T12","color_digital_contract","extended-silver","inline:silver","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict silver with basic family grey","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-SLATE-GREY","T12","color_digital_contract","extended-slate_grey","inline:slate_grey","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict slate_grey with basic family grey","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-GREEN","T12","color_digital_contract","extended-green","inline:green","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict green with basic family green","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-LIME","T12","color_digital_contract","extended-lime","inline:lime","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict lime with basic family green","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-OLIVE","T12","color_digital_contract","extended-olive","inline:olive","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict olive with basic family brown","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-TEAL","T12","color_digital_contract","extended-teal","inline:teal","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict teal with basic family grey","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-SEA-GREEN","T12","color_digital_contract","extended-sea_green","inline:sea_green","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict sea_green with basic family green","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-MOSS-GREEN","T12","color_digital_contract","extended-moss_green","inline:moss_green","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict moss_green with basic family green","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-ORANGE","T12","color_digital_contract","extended-orange","inline:orange","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict orange with basic family orange","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-DARK-ORANGE","T12","color_digital_contract","extended-dark_orange","inline:dark_orange","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict dark_orange with basic family orange","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
"PM-COLOR-CONTRACT-PEACH","T12","color_digital_contract","extended-peach","inline:peach","GENERATED_AT_RUN","synthetic_patch","digital","not_applicable","not_applicable","offscreen","64x64","not_applicable","not_applicable","predict peach with basic family white","basic_color_accuracy;extended_color_accuracy;color_name_margin;forced_low_evidence_label_count","project_synthetic","NOT_APPLICABLE","Apache-2.0","t12"
