case_id,category,rating,adequate,rating_reason,iou,processed_frames,nonempty_frame_rate,median_mask_ratio,mean_mask_confidence,source_resolution,source_sha256
SEG-PUB-ASTRONAUT,segmentation_quality,3,True,Upper garment is well covered with only small boundary spill.,,1,1.000000,0.197305,0.942493,512x512,88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5
SEG-PUB-CC0-WOMAN,segmentation_quality,0,False,No target mask was returned.,,1,0.000000,0.000000,,960x1280,9659315a44a6d3eadf8814b314193aacc78033097aa4dee4da0fadbfcaec025d
SEG-PUB-LOC-LINCOLN,segmentation_quality,0,False,No target mask was returned.,,1,0.000000,0.000000,,811x1024,a305c6630a3ac49dc9fe2ebe9f218ba7bb91df715c2dd860d038a585e030c15f
SEG-PUB-LOC-MAN,segmentation_quality,0,False,No target mask was returned.,,1,0.000000,0.000000,,824x1024,50eb295eb7cf909350c67c74b3b306a1e7018261505c866f88f77b035ada0d94
SEG-PUB-NASA-SHEPARD,segmentation_quality,0,False,Only a thin non-garment strip was retained.,,1,1.000000,0.011953,0.961608,960x1270,3f8ef484565605683cfe5b4aec510c165afafbfe00477899faecfb521a097488
SEG-ANN-PLAIN-UPPER,segmentation_annotated,2,True,Upper garment is usable but hair and torso-boundary error remain.,0.382858,1,1.000000,0.028158,0.939328,1536x2048,7af175a5cb6e2a2ebeb9657a81d08c5adb62853d2750f67316518f76bfb889b6
SEG-ANN-PLAIN-LOWER,segmentation_annotated,1,False,Upper-body contamination blocks reliable lower-garment color use.,0.370076,1,1.000000,0.031647,0.954705,2761x3681,762149d962718eeeaf603c22ffdf3910a7e7cbbba7c2e126e9d694da47d9ac3f
SEG-ANN-MULTICOLOR-UPPER,segmentation_annotated,3,True,The patterned upper garment is well covered with minor edge error.,0.881396,1,1.000000,0.086921,0.976311,2909x3001,b0d8ef7f7d0530013ae30fb9f5fa9d875b2864cebe3d7bb3e72a4ede8aa30e12
SEG-MULTICOLOR-DRESS,segmentation_quality,2,True,Dress torso is usable but lower-garment coverage is incomplete.,,1,1.000000,0.022370,0.880347,2308x3539,f9d6cc7ea44cf26ce081b1ddd9a676f6b399e13f47c8ac14024c07c5053be097
SEG-LOW-LIGHT,segmentation_failure,2,True,Main garment remains usable despite boundary loss in dim lighting.,,1,1.000000,0.064368,0.981460,2316x3088,b1c96a3c7ee5a8c07a11762607acd2eaf188dfb186ab0315548876900f0baf2f
SEG-WARM-LIGHT,segmentation_quality,1,False,Held certificate and adjacent regions contaminate the garment mask.,,1,1.000000,0.037643,0.960125,3024x4032,121d2183fe69e6f821d0149c38c5a4337ff147c25fe2785bddcdf68199978d0b
SEG-MOTION-SLOW,segmentation_temporal,2,True,Most sampled frames are usable but startup and distant frames lose coverage.,,292,0.996575,0.023146,0.937638,1920x1080,1b008fa20de0b09b82df22b4d38754098bcc34e0b8feed868df0353f3342aeca
SEG-MOTION-FAST,segmentation_failure,1,False,Motion causes severe vegetation and trailing-background contamination.,,113,1.000000,0.044398,0.909795,3120x1754,3f8ba89cf4220f204f02a7e3175164a57fef9b9ea6b90ac466a4b37c972153e3
SEG-OCCLUSION,segmentation_failure,1,False,Occluding laptop and nearby people contaminate the retained region.,,1,1.000000,0.108802,0.940646,3024x4032,edda002910205394fd8902e5fb5a4e689d45ccd2454c32c0bb1ed8d1e8ba77f5
SEG-CARRIED-OBJECT,segmentation_failure,1,False,The carried certificate is included and blocks reliable clothing color use.,,1,1.000000,0.040785,0.946024,2711x3706,c0895289003c38432661b93de3da919ce816312d180c2f329a271e981eb9b49f
SEG-SIMILAR-BACKGROUND,segmentation_failure,2,True,The visible upper garment remains usable with limited edge error.,,1,1.000000,0.020645,0.926052,3024x4032,ee8828398395d293bfa0d8ed39f2255165b2fae4b3191b300901c3c8667a752f
SEG-POSE-SEATED,segmentation_failure,2,True,Seated upper garment is usable despite lower-body omission.,,1,1.000000,0.028799,0.955421,3024x4032,c442a43df28cb89c8cb9faae56ea48003163a48c49f4abbd536f9c01f8c52aa5
SEG-CLOSE-CROP,segmentation_failure,1,False,Large foreground object and crop contamination dominate the retained mask.,,1,1.000000,0.129095,0.991612,3024x4032,7efea760a442e5d97b466343dd0428e87d4a63d8643f7ee8d98c83712003ff2c
SEG-MULTI-PERSON,segmentation_failure,1,False,People and held object are merged so garment ownership is ambiguous.,,1,1.000000,0.066442,0.977359,1920x2560,da30fe62c4cc7bc473fb7440437466e9becff10ef56a4b2cdaf26a261758090d
SEG-NO-PERSON,segmentation_negative,3,True,Correctly returned no garment mask for the negative scene.,,1,0.000000,0.000000,,3024x4032,8a1302bf7ae268143a6ea94ff4058e83f025c19c82333086765f3f1699b1250c
